ID	Name	Desc	MapStory	DoLua	Default	Condition1	Point1	UnLock1	Condition2	Point2	UnLock2	Condition3	Point3	UnLock3	Condition4	Point4	UnLock4
104	灭门之谜	追查之下，你发现百蛮山屠灭太一，似乎是为了一件名为“乾坤界”的至宝。但此事远不如表面上那么简单，根据百蛮山大能白芷所言，当日布下绝龙阵的其他几名大能竟然出自正一道！更离谱的时，在明面上百蛮山和正一道背后，竟然隐约有合欢派，七杀魔宫，七仟坞，丹霞洞天，昆仑宫，紫霄宗正邪六大派的身影在暗中推波助澜！也就是说，这次行动或明或暗，正邪八大门派竟然一起联合行动。进一步追查下，更奇怪的事情出现了，除了明面上的百蛮山是单纯的为了宝物，其他藏于幕后的各派对太一门的态度竟然各有微妙：三大邪派似乎对太一门有某种仇恨，四大正派则是某种恐惧和忌惮。但太一门只是近百年来才建立的一个小门派，一直蜗居东南边陲，除百蛮山之外的七派乃是传承自上古的大派，这种莫名的态度实在令人费解，但不管如何，这显然不会是什么简单爱恨情仇所能解释，其背后势必有更深层的秘密才对。而在探查过程中，你在合欢宗与昆仑宫所见的残缺古朴法印，在仔细研究后竟然发现他们有某种关联，只是尚缺乏最关键的一个部分，因此无法还原，这也让你十分在意。		WorldLua:SetWorldFlag(94,1);WorldLua:SetWorldFlag(95,1)													
105	往日秘辛-太一至宝	令人没有想到的是，太一门溯其根源竟然传自上古大派东皇宫，只是千年前一场大变故使东皇宫几乎灭派，百余年后，其传人才改头换面重建为太一门。\n上古时期，仙魔两次大战均以修行界惨胜告终。东皇宫之中有一派人对第三次仙魔大战持悲观态度，是以打造出至宝“乾坤界”，以希望灾难来临时能遁入其中苟活，为人间留下火种。\n至此，一切真相大白，百蛮山不知从何处获得此宝的线索，为谋夺至宝而屠灭太一门满门。															
106	往日秘辛-正道魁首	令人没有想到的是，太一门溯其根源竟然传自上古大派东皇宫，只是千年前一场大变故使东皇宫几乎灭派，百余年后，其传人才改头换面重建为太一门。\n上古时期，东皇宫乃上古三皇传承凡间的道统，是不折不扣的正道魁首，其势力横压人间无敌。当时正值第二次仙魔大战，十大邪教勾结魔头，被东皇宫尽数屠灭。如今的百蛮山，七仟坞，七杀魔宫，合欢派正是当时苟延残喘的漏网之鱼。\n至此，一切真相大白，这四派知晓太一门根脚，必然担心东皇宫重新崛起清算往事，是以先下手为强。															
107	往日秘辛-立威天下	令人没有想到的是，太一门溯其根源竟然传自上古大派东皇宫，只是千年前一场大变故使东皇宫几乎灭派，百余年后，其传人才改头换面重建为太一门。\n上古时期，东皇宫乃上古三皇传承凡间的道统，是不折不扣的正道魁首，彼时第二次仙魔大战开战在即，东皇宫统领人间修行者建立统一战线抵抗魔界，然而紫霄宗却依仗自己正道根脚，不服管束。关键时刻当霹雳行事，东皇掌教亲自出手杀灭紫霄宗抗命的七大长老，收束军心，最终统一战线得以建立，于第二次仙魔大战中获得惨胜。此役因紫霄宗事变的内耗，导致修行界损失惨重，东皇宫迫紫霄宗立下誓言，为第三次仙魔大战先锋，将功赎罪。\n至此，一切真相大白，如今三次仙魔大战将至，紫霄宗知晓太一门根脚，必然担心东皇宫重新崛起清算往日，是以先下手为强。															
108	往日秘辛-东皇惊变	令你没有想到的是，太一门溯其根源竟然传自上古大派东皇宫，上古时期，东皇宫乃上古三皇传承凡间的道统，其势力横压人间无敌。仙魔第二次大战更带领人间界击退魔界，拯救人间。\n然而千年之前，东皇宫却突然在修行界掀起一场大乱，欲毁天下修行者根基。世传东皇宫掌门暗自修改东皇所传五行大法，吸纳魔息修炼，因此坠入魔道，欲颠覆人间。东皇宫掌教更是号称魔中之魔，以绝代修为睥睨天下，无人可敌。\n天下修行者为求生存，不论正邪联合起来，血战十数年，终于覆灭了东皇宫。然而东皇宫却留下一条隐秘传承，潜伏百年后才改头换面重建为太一门。\n至此，一切似乎都有了合理的解释，天下各派不论正邪，都害怕太一门崛起，昔日魔中之魔重临人间，是以不论正邪联合，务必想要将东皇一脉斩草除根。然而，真的是这样么？你身为太一弟子，精研太一五行大法，没有人比你更了解太一门功法的根脚：其中或许有一些剑走偏锋的邪门手段，但绝对没有吸收魔息提升修为的法门。如果这依然不是真相，只是胜利者编织的谎言，那么隐藏在历史背后的真相，到底是什么？这一切似乎陷入更大的谜团中……															
500	外传：上古信息	这些日子，你们陆续接触到一些上古隐秘。然而上古时代遗留的信息都十分奇怪，其内容往往是一些鸡毛蒜皮毫无价值的杂事，有的甚至看上去似是而非，难以理解，似乎是被施加了某种奇特的密咒。但这样的密咒一般用作门派内部保密，可如今看来，上古时代所有遗留的典籍都用了密咒保护，这样一来，保密的意义又何在？而解密的方法又是什么？				43||	1000										
1000	外传：上古信息	经过一番详细的调查，你了解到上古时代用密咒封锁信息的原因正是为了防范潜入人间的魔族。而经过这一番考证，你也学会了上古文字的解密之法。		WorldLua:SetWorldFlag(93,1)													
10000	上古秘闻																
10001	禁忌往事																
10002	已知结论																
