ID	Secret	Title	Type	BeiZhu	Source	Txt	RelationEvidence	RelationMotivation
17	2	灭门之谜	1	七千	百蛮山大能·白芷	据百蛮山大能白芷所言，[desc_daytime=-20]，在一次与七仟坞大能结伴同游时，恰好接到七仟坞在正道留下的暗子传递回密信。七仟坞长老并没有回避她，当面打开了密信，其中刚好包含一条太一门掌教突破金丹，全派弟子尽数回山庆贺的消息。	24	9
18	2	灭门之谜	1	紫霄	百蛮山大能·白芷	据百蛮山大能白芷所言，百蛮山本担心太一门既然有此重宝，也许是有些后台来历，如果不能一网打尽，恐有后患。就在此刻，一伙神秘人却带来上古阵法绝龙阵的阵图，表示与太一门有仇愿意参与此次围剿。而这些神秘人身上真气纯正雄厚，紫气隐隐，竟然好似来自正道门派紫霄宗。	25	10
19	2	灭门之谜	1	正一	紫霄宗大能·辛旗	据紫霄宗大能辛旗所言，玄一道诸多大能在[desc_daytime=-20]，来访紫霄宗，举行了一场交流演法，两派大能尽出，论道数十天，传出许多佳话。然而此次演法却禁止普通弟子观摩，实在有些奇怪。	26	11
20	2	灭门之谜	1	昆仑	紫霄宗大能·辛旗	据紫霄宗大能辛旗所言，[desc_daytime=-20]，昆仑宫来访紫霄宗，用一批阵图与紫霄宗交换了一批丹药。要说这些阵图珍贵非常，其中甚至包括上古大阵绝龙阵，而昆仑宫亦精擅炼丹之术，做这等亏本买卖着实令人摸不着头脑。	27	12
21	2	灭门之谜	1	丹霞	紫霄宗大能·辛旗	据紫紫霄宗大能辛旗所言，[desc_daytime=-20]，丹霞山以扩建门派为由，向紫霄宗低价抛售了一大批蛟龙宝材换取大量灵石。但事后，其向门派申领蛟龙天角炼宝，却未获允许，不知道派中将这些蛟龙宝材用作何处，让人颇感奇怪。	28|29	13
22	2	灭门之谜	2	七杀	七杀魔宫大能·于墨染	据七杀魔宫大能于墨染所言，[desc_daytime=-20]，七杀魔宫众多高层忽然一反常态的在藏书库查阅上古宝物的记录。要知道七杀魔宫以杀为道，很少有门人对这种上古传闻感兴趣，更何况是这么多长老一起行动，实在有些古怪。		
23	2	灭门之谜	2	合欢	合欢派大能·殷莲	据合欢派大能殷莲所言，她一直在后山闭关精研古代秘闻历史，[desc_daytime=-20]，无意中从门派典籍库内找到一本残册，上面竟然记载有上古至宝“乾坤界”如今可能流落在东南修行界某个小派中的消息。正当她奇怪为何自己几十年都未曾注意到此册，就被掌教突然派遣出使百蛮山。令人奇怪的是，百蛮山众人开口就询问“乾坤界”的下落，这让其感到某种诡异的巧合。此外你注意到，在殷莲长老身上的一枚古玉上的法印十分奇怪，它看上去风格异常古朴，似乎是某种更复杂法印的一部分，这让你有些在意，于是暗中记忆下来。		
24	2	灭门之谜	2	七千	七仟坞弟子·朱非	据七仟坞弟子朱非所言，他一直负责接应中原内陆暗子的消息传递。[desc_daytime=-20]，在向门中长老例行汇报时，长老竟然没有回避旁边的陌生人，直接令其当场汇报。当时自己以为是未曾见过的派中长老，没想到事后才知道此人竟然是百蛮山出身。该长老一直以来做事严谨，像这次的情况实在让人觉得奇怪。		
25	2	灭门之谜	2	紫霄	紫霄宗弟子·秦杰	据紫霄宗弟子秦杰所言，[desc_daytime=-20]，他准备突破金丹请求师傅护法，然而事到临头，师傅却和派中长老突然宣布参悟大道，集体闭关了数十天。而闭关结束后，师傅却因为悟道失败岔气受伤，自己苦等数年的结丹机缘就此错过。他实在不能理解平日待自己如亲子的师傅，为何会在如此关键的时候对自己不管不顾，去参加那个莫名其妙的集体闭关。		
26	2	灭门之谜	2	正一	玄一道大能·叶白雪	据玄一道大能叶白雪所言，[desc_daytime=-20]，其掌教命令他们十数名长老一齐出使紫霄宗，与紫霄宗长老进行一次秘密的交流演法。此等出使规模，玄一道数十年来少有，本来令其期待非常。然而紫霄宗最终却只派出数名不知名的修士与他们论道，其道法也并不高深，如此怠慢，实在是不当人子，令人气愤不已。		
27	2	灭门之谜	2	昆仑	昆仑宫长老·离尾燕	据昆仑宫离尾燕长老所言，[desc_daytime=-20]，其奉掌教之令出使紫霄宗，以数张珍贵阵图换了大量门中并不缺乏的丹药，自己执掌昆仑宫库藏以来，从来没有做过这种亏本的生意，实在让人耿耿于怀。		
28	2	灭门之谜	2	丹霞	丹霞洞天长老·谢思	据丹霞山谢思长老所言，[desc_daytime=-20]，丹霞山掌门以扩建门派为由，向紫霄宗低价抛售了一大批蛟龙宝材换取大量灵石。然而他为门派扩张准备许久，甚至为此耽误了一柄即将练成的神器，却又收到通知，扩张计划取消。实在令人惋惜。		
29	2	灭门之谜	2	昆仑	昆仑宫大能·古聪	据昆仑宫大能古聪所言，绝龙阵布阵必须以龙身之物为阵眼之器，借助龙息引动天地灵机，才能封天锁地，发挥全部威力。此外你注意到，古聪手边正在研究的一个阵图上，有一个法印符号十分奇怪，它看上去风格异常古朴，似乎是某种更复杂法印的一部分，这让你有些在意，于是暗中记忆下来。		
30	10000	往日秘辛-上古传闻	0		《上古异闻·仙魔之战·卷十五》	据《上古异闻·仙魔之战·卷十五》所说，上古时期，人间界在东皇宫的带领下，取得两次仙魔大战的胜利。然而两次大战，修行界皆为惨胜。巨大的损失令东皇宫之中有一派人对第三次仙魔大战生出悲观态度，是以倾尽天下修行界之力打造出至宝“乾坤界”，以希望灾难来临时能遁入其开辟的小千世界中躲过灾难，为人间留下火种。		
31	10000	往日秘辛-上古传闻	1	东皇宫	合欢派大能·殷莲	据合欢派大能殷莲所言，“乾坤界”乃是出自上古大派东皇宫的至宝。但这样一个开辟空间的至宝，炼制难度之大简直匪夷所思，如果没有迫不得已的需求，实在没有理由炼制这等宝物。而这样一件重宝又如何流落到太一门手中，为其带来灭门之祸呢？	32	30|40
32	10000	往日秘辛-上古传闻	2		《太一秘典》	据《太一秘典》记载，上古时期，人间修行界的领袖乃是三皇传承之一的东皇宫，其实力威压天下，无人不从。只是千年前一场大变故使东皇宫几乎灭派，变故之后，东皇宫成为修行界的禁忌，其资料历史尽数被销毁，至此仿佛从未存在。而百余年后，其残留一支隐秘的传承悄然出世，为避人耳目，他们另立一派，其名为：太一门！		
33	10000	往日秘辛-上古传闻	0		《上古异闻·仙魔之战·卷七》	据《上古异闻·仙魔之战·卷七》记载，第二次仙魔大战，十大邪教勾结魔头，险些导致人间覆灭。东皇宫掌教以身祭天道，重现东皇法身，以雷霆手段重创十大邪教，令其几乎全部覆灭，这才终于在第二次仙魔大战中获得惨胜。		
34	10000	往日秘辛-上古传闻	0		合欢派大能·殷莲	据合欢派大能殷莲所言，上古时期，十大邪教分别为：赤身教，七杀魔宫，血神教，日月神教，阴阳宗，五情海，天魔宗，千邪殿，地母神教，拜月教。		
35	10000	往日秘辛-上古传闻	0		合欢派大能·殷莲	据合欢派大能殷莲所言，合欢派乃是上古传承，其上古时期乃赫赫有名的阴阳宗。		
36	10000	往日秘辛-上古传闻	0		合欢派大能·殷莲	据合欢派大能殷莲所言，上古时期地母神教乃是西方修行界最强的教派，其门下号称十万弟子。仙魔大战后因一场剧变而几乎灭派，其中一支残留支脉改换门庭，重新立派，名曰七仟坞。		
37	10002	往日秘辛-已知结论	1	七杀合欢七千		毫无疑问，七杀魔宫，合欢派，七仟坞暗中参与推动了太一门灭门事件，甚至还对太一门怀有某种仇恨。但太一门只是近百年来才建立的一个小门派，此三派乃是当今魔道大派，这莫名的仇恨实在无法理解。	32	33|34|35|36|40
38	10000	往日秘辛-上古传闻	0		《上古异闻·仙魔之战·卷五》	据《上古异闻·仙魔之战·卷五》记载，第二次仙魔大战开战在即，东皇宫统领人间修行者建立统一战线抵抗魔界，然而紫霄宗却依仗自己正道根脚，不服管束。关键时刻当霹雳行事，东皇掌教亲自出手杀灭紫霄宗抗命的七大长老，收束军心，最终统一战线得以建立，于第二次仙魔大战中获得惨胜。此役因紫霄宗事变产生剧烈内耗，导致修行界损失惨重，东皇宫迫紫霄宗立下誓言，为第三次仙魔大战先锋，将功赎罪。		
39	10002	往日秘辛-已知结论	1	紫霄宗		毫无疑问，紫霄宗直接参与了太一门灭门事件，他们似乎对太一门有一种莫名的恐惧和忌惮，此举更像是借百蛮山的名义实行的某种防患于未然的举动。但太一门只是近百年来才建立的一个小门派，紫霄宗乃是传承自上古的大派，这莫名的恐惧和忌惮实在让人无法理解。	32	38|40
40	10000	往日秘辛-上古传闻	0		《上古异闻·仙魔之战·卷一》	据《上古异闻·仙魔之战·卷一》记载，上古时期，三皇飞升后，只有东皇在人间留下道统，号称东皇宫。其势力横压当代，举世无敌，是不折不扣的正道魁首。在其带领下，两次仙魔大战人间界都获得胜利，其声威冠盖上古，无人不知，无人不晓。		
41	10001	往日秘辛-禁忌往事	0		《金船残卷》	据《金船残卷》记载，千年之前，东皇宫突然在修行界掀起一场大乱，欲毁天下修行者根基。世传东皇宫掌门在仙魔大战中感染魔息，暗自修改东皇所传五行大法，吸纳魔息修炼，因此坠入魔道，欲颠覆人间。东皇宫掌教更是号称魔中之魔，以绝代修为睥睨天下，无人可敌。\n天下修行者为求生存，不论正邪联合起来，血战十数年，终于覆灭了东皇宫。		
42	10002	往日秘辛-已知结论	1	8大派		毫无疑问，百蛮山并非唯一参与者，紫霄宗也暗中派人亲自参与布下绝龙阵。而更让人震惊的是，这两个门派背后，竟然还有合欢派，七杀魔宫，七仟坞，丹霞洞天，昆仑宫，紫霄宗正邪六大派的身影在暗中推波助澜！而他们对太一门的态度竟然各有微妙，不论如何，这显然不会是什么简单爱恨情仇所能解释，其背后势必有更深层的秘密才对。	32	40|41
43	10000	外传：上古信息	0		合欢派大能·殷莲	据合欢派大能殷莲所言，上古时代的信息如今少有人可以解读。原来当时魔族屡屡入侵人间，是以人间修行者统一用密咒封锁信息，解咒之法必须以人类之血为引方可。这样做正是为了防范潜入人间的魔族了解人间信息。		
