ID	ItemName	Type	Count	Stuff	MinQuality	MaxQuality	MinRate	MaxRate	SpellLevel	IsFake	FabaoKind	FabaoName	FabaoDes	GodCount	IsMiBao	SpecialID
1008	Item_Marble	0	1													
1009	Item_Jade	0	1													
1010	Item_JadeEssence	0	1													
1011	Item_StoneEssence	0	1													
1012	Item_SkyStone	0	1													
1013	Item_ExtremeJade	0	1													
1014	Item_LingCrystal	0	1													
1015	Item_Cotton	0	1													
1016	Item_IronRock	0	1													
1017	Item_CopperRock	0	1													
1018	Item_SilverRock	0	1													
1019	Item_DarksteelRock	0	1													
1020	Item_StarEssence	0	1													
1021	Item_BoarLeather	0	1													
1022	Item_RabbitLeather	0	1													
1023	Item_BearLeather	0	1													
1024	Item_WolfLeather	0	1													
1025	Item_FeiLeather	0	1													
1026	Item_LuShuLeather	0	1													
1027	Item_CattleLeather	0	1													
1028	Item_TigerLeather	0	1													
1029	Item_YaoLeather	0	1													
1030	Item_CottonCloth	0	1													
1031	Item_DeepBlueCloth	0	1													
1032	Item_PurpleCloth	0	1													
1033	Item_YellowCloth	0	1													
1034	Item_BlueCloth	0	1													
1035	Item_RedCloth	0	1													
1036	Item_WhiteCloth	0	1													
1037	Item_BlackCloth	0	1													
1038	Item_RoughWoodBlock	0	1													
1039	Item_HardWoodBlock	0	1													
1040	Item_ParasolWoodBlock	0	1													
1041	Item_LingWoodBlock	0	1													
1042	Item_BrownRockBlock	0	1													
1043	Item_GrayRockBlock	0	1													
1044	Item_MarbleBlock	0	1													
1045	Item_JadeBlock	0	1													
1046	Item_SkyStoneBlock	0	1													
1047	Item_LingStoneBlock	0	1													
1048	Item_LingCrystalBlock	0	1													
1049	Item_IronBlock	0	1													
1050	Item_CopperBlock	0	1													
1051	Item_SilverBlock	0	1													
1052	Item_CopperBlock1	0	1													
1053	Item_SilverBlock1	0	1													
1054	Item_DarksteelBlock	0	1													
1055	Item_StarEssenceBlock	0	1													
1056	Item_BoarMeat	0	1													
1057	Item_FrogMeat	0	1													
1058	Item_TurtleMeat	0	1													
1059	Item_BearMeat	0	1													
1060	Item_Beef	0	1													
1061	Item_RabbitMeat	0	1													
1062	Item_ChickenMeat	0	1													
1063	Item_WolfMeat	0	1													
1064	Item_FishMeat	0	1													
1065	Item_SnakeMeat	0	1													
1066	Item_CatMeat	0	1													
1067	Item_TigerMeat	0	1													
1068	Item_ChickenEgg	0	1													
1069	Item_SnakeEgg	0	1													
1070	Item_TurtleEgg	0	1													
1071	Item_WoodLeftover	0	1													
1072	Item_HardWoodLeftover	0	1													
1073	Item_ParasolWoodLeftover	0	1													
1074	Item_LingWoodLeftover	0	1													
1075	Item_BrownRockLeftover	0	1													
1076	Item_GrayRockLeftover	0	1													
1077	Item_MarbleLeftover	0	1													
1078	Item_JadeLeftover	0	1													
1079	Item_SkyStoneLeftover	0	1													
1080	Item_LingStoneLeftover	0	1													
1081	Item_LingCrystalLeftover	0	1													
1082	Item_IronRockLeftover	0	1													
1083	Item_CopperRockLeftover	0	1													
1084	Item_SilverRockLeftover	0	1													
1085	Item_DarksteelRockLeftover	0	1													
1086	Item_StarEssenceLeftover	0	1													
1087	Item_Flour	0	1													
1088	Item_Pear	0	1													
1089	Item_Wheat	0	1													
1090	Item_Mushroom	0	1													
1091	Item_Lotusroot	0	1													
1092	Item_SysAxe	0	1	Item_RoughWoodBlock	1	1										
1093	Item_SysPickaxe	0	1	Item_RoughWoodBlock	1	1										
1094	Item_SysSickle	0	1	Item_RoughWoodBlock	1	1										
1095	Item_SysAcupuncture	0	1	Item_RoughWoodBlock	1	1										
1096	Item_Umbrella	0	1	Item_CottonCloth	1	1										
1097	Item_Firecracker	0	1													
1098	Item_Jiaozi	0	1													
1099	Item_SpellPaper	0	1													
1100	Item_SpellPaperLv2	0	1													
1101	Item_SoulCrystalYou	0	1													
1102	Item_Cake	0	1													
1103	Item_Jerky	0	1													
1104	Item_PreservedFruit	0	1													
1105	Item_Yao_BoarMeat	0	1													
1106	Item_Fruit	0	1													
1107	Item_LingWater	0	1													
1108	Item_ZaoHuaYuLu	0	1													
1109	Item_SilverGrit	0	1													
1110	Item_CopperGrit	0	1													
1111	Item_Cinnabar	0	1													
1112	Item_JinEssence	0	1													
1113	Item_MuEssence	0	1													
1114	Item_ShuiEssence	0	1													
1115	Item_HuoEssence	0	1													
1116	Item_TuEssence	0	1													
1117	Item_LingMuXueJie	0	1													
1118	Item_EarthEssence	0	1													
1119	Item_LifeStream	0	1													
1120	Item_Ginseng	0	1													
1121	Item_GanodermaLucidum	0	1													
1122	Item_RedGinseng	0	1													
1123	Item_PurpleGanodermaLucidum	0	1													
1124	Item_SoulPearl	0	1													
1125	Item_MonsterBlood	0	1													
1126	Item_Mint	0	1													
1127	Item_MagicHerb	0	1													
1128	Item_Ginkgo	0	1													
1129	Item_SnakeGallbladder	0	1													
1130	Item_BearGallbladder	0	1													
1131	Item_Healroot	0	1													
1132	Item_Hemostatics	0	1													
1133	Item_SmallCycle	0	1													
1134	Item_Plaster	0	1													
1135	Item_StoneEssenceDrug	0	1													
1136	Item_Anodyne	0	1													
1137	Item_Laxative	0	1													
1138	Item_BasePracticeDrug	0	1													
1139	Item_Dan_JingYuan	0	1													
1140	Item_Dan_JingYuan2	0	1													
1141	Item_Dan_JingYuan3	0	1													
1142	Item_Dan_Ling	0	1													
1143	Item_Dan_Ling2	0	1													
1144	Item_Dan_PracticeRate	0	1													
1145	Item_Dan_PracticeSpeed	0	1													
1146	Item_Dan_CalmDown	0	1													
1147	Item_Dan_Happiness	0	1													
1148	Item_Dan_NoHunger	0	1													
1149	Item_Dan_NoHunger2	0	1													
1150	Item_Dan_NoHunger1	0	1													
1151	Item_Dan_LostSoul	0	1													
1152	Item_Dan_DredgeQi1	0	1													
1153	Item_Dan_DredgeQi	0	1													
1154	Item_Dan_WuLingSan	0	1													
1155	Item_Dan_CureJinDamage	0	1													
1156	Item_Dan_CureMuDamage	0	1													
1157	Item_Dan_CureShuiDamage	0	1													
1158	Item_Dan_CureHuoDamage	0	1													
1159	Item_Dan_CureTuDamage	0	1													
1160	Item_Dan_CureFiveElementDamage	0	1													
1161	Item_Dan_Restore	0	1													
1162	Item_Dan_ExtremeLofty	0	1													
1163	Item_Dan_HundredRefine	0	1													
1164	Item_Dan_IncreaseLife1	0	1													
1165	Item_Dan_IncreaseLife2	0	1													
1166	Item_Dan_IncreaseLife3	0	1													
1167	Item_Dan_IncreaseLife4	0	1													
1168	Item_Dan_IncreaseLife5	0	1													
1169	Item_Dan_IncreaseNeckCountdown1	0	1													
1170	Item_Dan_IncreaseNeckCountdown2	0	1													
1171	Item_Dan_Defense	0	1													
1172	Item_Dan_Ling3	0	1													
1173	Item_Dan_FiveBase1	0	1													
1174	Item_Dan_FiveBase2	0	1													
1175	Item_Dan_FiveBase3	0	1													
1176	Item_Dan_FiveBase4	0	1													
1177	Item_Dan_FiveBase5	0	1													
1178	Item_Dan_FiveBaseFromLife	0	1													
1179	Item_Dan_TreeEXP	0	1													
1180	Item_Dan_Thin	0	1													
1181	Item_Dan_FaceLock	0	1													
1182	Item_Dan_FaceUnLock	0	1													
1183	Item_Dan_FaceLock1	0	1													
1184	Item_Dan_FaceLock2	0	1													
1185	Item_Dan_FaceLock3	0	1													
1186	Item_Dan_Fat	0	1													
1187	Item_Dan_Soul1	0	1													
1188	Item_Dan_Soul2	0	1													
1189	Item_Dan_Soul3	0	1													
1190	Item_Dan_Soul4	0	1													
1191	Item_Dan_ReBorn	0	1													
1192	Item_Dan_ReBorn_4	0	1													
1193	Item_Dan_LongDan1	0	1													
1194	Item_Dan_FengDan1	0	1													
1195	Item_Dan_ZhuLongDan1	0	1													
1196	Item_Dan_TiShen	0	1													
1197	Item_BossFeng_Meat	0	1													
1198	Item_BossLong_Meat	0	1													
1199	Item_BossZhuLong_Meat	0	1													
1200	Item_WuDang_HuangJing	0	1													
1201	Item_Dan_WuQiNoHunger2	0	1													
1202	Item_Dan_SanHuaHuangJing	0	1													
1203	Item_HomeFood	0	1													
1204	Item_DeliciousFood	0	1	
1205	Item_DelicacyFood	0	1	
