Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc	FromDLC
Chat_Place_BirthPlace14	1	此地可有什么事值得一谈？	天下诸多削铁如泥之利器，却少闻削泥如铁之钝器。利器专于采粗琢坚，钝器专于集脆建筑，各有所用也。吾辈所用皆为利器，闻世上稀有采玉之钝器，但不知何处可循。							
Chat_Place_JiuHua1	1	此地可有什么事值得一谈？	之前看到个卖艺的，他带着各种野兽，那些野兽还会自己排阵排列。有一次他来，被一个穿兽皮的人叫住了说了几句，所有野兽都被那穿兽皮的收走，卖艺的也跟他走了，后来就再也没来过了。							
Chat_Place_Desert4	1	此地可有什么事值得一谈？	这里虽然干旱，可也有下雨的时候。							
Chat_Place_FertileField1	1	此地可有什么事值得一谈？	我爷爷说，世上那最高峰山顶有个池子，以前还会喷火！							
Chat_Place_FertileField2	1	此地可有什么事值得一谈？	神木林中有些奇怪的蘑菇，吃了之后看见有好多精灵在帮我切石，好快乐啊！							
Chat_Place_FertileField3	1	此地可有什么事值得一谈？	我以前去过大漠做生意，有个村子里的人啊，只吃生肉啊！面粉他们根本不会吃也不会做！							
Chat_Place_CentralPlains4	1	此地可有什么事值得一谈？	前几天村里有个人吃了外地买来的蘑菇，昏睡三天，睡觉的时候时而大汗不止，时而哈哈大笑。结果醒来之后跟我们说他在梦中看见整个村子的人都变成了鸟，我们都觉得他疯了，但他后来也挺正常的。							
Chat_Place_CentralPlains5	1	此地可有什么事值得一谈？	有一天有个外地人卖蘑菇，很便宜，我买了点回家吃了之后，感觉墙上都是花朵，我就一直采一直采。不知多少天之后，发现大家都用异样的眼神看着我，原来我一直在墙边挖土……							
Chat_Place_BirthPlace11	1	此地可有什么事值得一谈？	江岸沃野面粉产量奇高，我们祖上小麦产量不弱于他们，可面粉产量却不及其半也不知为何。							
Chat_Place_BirthPlace13	1	此地可有什么事值得一谈？	我们的棉花很多都卖给了芦墟村，那里的人缝纫速度极快无比，其中女工都佩戴一种似护腕的东西。							
Chat	1	此地可有什么事值得一谈？	听说老王家邻居又添了个新丁，羡慕死了！							
Chat	1	此地可有什么事值得一谈？	最近我们村的有的年轻人也着了魔怔，天天堵在村口，闹什么罢工，还动手打捕快。真是造孽。							
Chat	1	此地可有什么事值得一谈？	没有什么新鲜事啊，一切都平淡无奇！好想也能有仙缘降临在我身上啊。可是我从来都没见过仙人，真让人沮丧……							
Chat	1	此地可有什么事值得一谈？	前几天遇到个配钥匙的，说的话可真让人生气。							
Chat	1	此地可有什么事值得一谈？	最近村里的吃的老是不见，奇怪。							
Chat	1	此地可有什么事值得一谈？	你说有没有一种可能，那些高来高去的仙人也会偷偷拿我们的东西？							
Chat	2	[HENAME]道友，最近可有什么谈资趣闻？	说来令人生气，那日我与人斗法，才使出半招，就被人说偷学那西域的绝学。真的气煞我也……须知天下剑术起手无非就是那几种定式……不分辨清楚后续变化，又怎能武断下此结论？							
Chat	2	[HENAME]道友，最近可有什么谈资趣闻？	近日师弟总是催我快快突破境界，但突破境界兹事体大，怎能草率？我也只能说一句快了快了，真是苦恼。							
Chat	2	[HENAME]道友，最近可有什么谈资趣闻？	近日吾突然有所悟：修行之道，与他人而说，无论好坏毁誉，既不能掌握，亦皆为外物。道之所在，终尽归于自身。能无愧于心，便足矣。							
Chat	2	[HENAME]道友，最近可有什么谈资趣闻？	说起符咒之术，那当然要提极天宫的长老[color=#ff0000]何足道[/color]啊。					Npc_JiTian_1	Npc_JiTian_1	MiFaXuanZhang
ZhuLongChat	0	可是天道阴阳之化身烛龙？看样子似乎有些奇怪，突然降临于此，可是发生了什么事？	吾正是烛龙，近日有一些异界之物携带异界天道之息流入此界，吾受此影响，以这般形象显化而出。这些异界之物中有一物名曰“祈福硬币”，上面凝结有异界之人的心念之愿，十分有趣。如你愿将之献与吾，吾愿动用天道之力满足你等一个愿望。							
