ID	Name	Event	Hide	HardCore	fParam	sParam	Desc	Icon	SteamID	Dlc	Point
18	画符熟手	Fu_Count		0	50		累计画符50次	res/Sprs/Achievement/icon_018	NEW_ACHIEVEMENT_8_26		10
19	画符高手	Fu_Count		0	100		累计画符100次	res/Sprs/Achievement/icon_019	NEW_ACHIEVEMENT_8_27		10
20	符圣手	Fu_Count		0	500		累计画符500次	res/Sprs/Achievement/icon_020	NEW_ACHIEVEMENT_6_15		10
21	杀念初生	Kill_Count		0	1		累计击杀1名生灵	res/Sprs/Achievement/icon_065	NEW_ACHIEVEMENT_8_28		10
22	杀意凛然	Kill_Count		0	100		累计击杀100名生灵	res/Sprs/Achievement/icon_066	NEW_ACHIEVEMENT_8_29		10
23	杀气纵横	Kill_Count		0	500		累计击杀500名生灵	res/Sprs/Achievement/icon_067	NEW_ACHIEVEMENT_8_30		10
24	杀神	Kill_Count		0	1000		累计击杀1000名生灵	res/Sprs/Achievement/icon_068	NEW_ACHIEVEMENT_6_16		10
25	修真杀手	KillDisciple_Count		0	1		累计击杀修行者1人	res/Sprs/Achievement/icon_069	NEW_ACHIEVEMENT_8_31		10
26	修真克星	KillDisciple_Count		0	100		累计击杀修行者100人	res/Sprs/Achievement/icon_070	NEW_ACHIEVEMENT_9_0		10
27	修真屠夫	KillDisciple_Count		0	500		累计击杀修行者500人	res/Sprs/Achievement/icon_071	NEW_ACHIEVEMENT_9_1		10
28	弑仙者	KillDisciple_Count		0	1000		累计击杀修行者1000人	res/Sprs/Achievement/icon_072	NEW_ACHIEVEMENT_6_17		10
29	初试搜魂	SeachSoul_Count		0	1		累计搜魂1人	res/Sprs/Achievement/icon_073	NEW_ACHIEVEMENT_9_2		10
30	搜魂熟手	SeachSoul_Count		0	10		累计搜魂10人	res/Sprs/Achievement/icon_074	NEW_ACHIEVEMENT_9_3		10
31	搜魂高人	SeachSoul_Count		0	50		累计搜魂50人	res/Sprs/Achievement/icon_075	NEW_ACHIEVEMENT_9_4		10
32	魂宗	SeachSoul_Count		0	100		累计搜魂100人	res/Sprs/Achievement/icon_076	NEW_ACHIEVEMENT_6_18		10
33	厨师	Food_Count		0	10		累计做出10种食物	res/Sprs/Achievement/icon_080	NEW_ACHIEVEMENT_9_5		10
34	大厨	Food_Count		0	20		累计做出20种食物	res/Sprs/Achievement/icon_081	NEW_ACHIEVEMENT_9_6		10
35	食神	Food_Count		0	50		累计做出50种食物	res/Sprs/Achievement/icon_082	NEW_ACHIEVEMENT_6_19		10
36	灵犀一闪	ArtItem_Count		0	1		累计做出7阶的艺术品1个	res/Sprs/Achievement/icon_088	NEW_ACHIEVEMENT_9_7		10
37	灵思泉涌	ArtItem_Count		0	10		累计做出7阶的艺术品10个	res/Sprs/Achievement/icon_089	NEW_ACHIEVEMENT_9_8		10
38	艺术家	ArtItem_Count		0	50		累计做出7阶的艺术品50个	res/Sprs/Achievement/icon_090	NEW_ACHIEVEMENT_6_20		10
39	喜加一	Persuade_Count		0	1		累计说服1名旅人加入	res/Sprs/Achievement/icon_091	NEW_ACHIEVEMENT_9_9		10
40	喜加五	Persuade_Count		0	5		累计说服5名旅人加入	res/Sprs/Achievement/icon_092	NEW_ACHIEVEMENT_9_10		10
41	喜加十	Persuade_Count		0	10		累计说服10名旅人加入	res/Sprs/Achievement/icon_093	NEW_ACHIEVEMENT_9_11		10
42	了解一下	Persuade_Count		0	20		累计说服20名旅人加入	res/Sprs/Achievement/icon_094	NEW_ACHIEVEMENT_6_21		10
43	初学秘册	Esoterica_Count		0	1		累计通过书册学会1本秘籍	res/Sprs/Achievement/icon_099	NEW_ACHIEVEMENT_9_12		10
44	博览群书	Esoterica_Count		0	10		累计通过书册学会10本秘籍	res/Sprs/Achievement/icon_100	NEW_ACHIEVEMENT_9_13		10
45	学富五车	Esoterica_Count		0	50		累计通过书册学会50本秘籍	res/Sprs/Achievement/icon_101	NEW_ACHIEVEMENT_9_14		10
46	百晓生	Esoterica_Count		0	100		累计通过书册学会100本秘籍	res/Sprs/Achievement/icon_102	NEW_ACHIEVEMENT_9_15		10
47	不幸殒命	Die_Count		0	1		累计弟子死亡1人	res/Sprs/Achievement/icon_122	NEW_ACHIEVEMENT_9_16		10
48	祸不单行	Die_Count		0	5		累计弟子死亡5人	res/Sprs/Achievement/icon_123	NEW_ACHIEVEMENT_9_17		10
49	仙途多舛	Die_Count		0	10		累计弟子死亡10人	res/Sprs/Achievement/icon_124	NEW_ACHIEVEMENT_9_18		10
50	生死无常	Die_Count		0	50		累计弟子死亡50人	res/Sprs/Achievement/icon_125	NEW_ACHIEVEMENT_6_23		10
51	痛失爱徒	DiscipleDie_Count		0	1		累计内门弟子死亡1人	res/Sprs/Achievement/icon_126	NEW_ACHIEVEMENT_9_19		10
52	痛上加痛	DiscipleDie_Count		0	5		累计内门弟子死亡5人	res/Sprs/Achievement/icon_127	NEW_ACHIEVEMENT_9_20		10
53	痛彻心扉	DiscipleDie_Count		0	10		累计内门弟子死亡10人	res/Sprs/Achievement/icon_128	NEW_ACHIEVEMENT_9_21		10
54	心碎	DiscipleDie_Count		0	20		累计内门弟子死亡20人	res/Sprs/Achievement/icon_129	NEW_ACHIEVEMENT_6_24		10
55	我就是你	RobBody_Count		0	1		累计夺舍1人	res/Sprs/Achievement/icon_140	NEW_ACHIEVEMENT_9_22		10
56	我也是他	RobBody_Count		0	5		累计夺舍5人	res/Sprs/Achievement/icon_141	NEW_ACHIEVEMENT_9_23		10
57	众生皆我	RobBody_Count		0	10		累计夺舍10人	res/Sprs/Achievement/icon_142	NEW_ACHIEVEMENT_9_24		10
58	马甲王	RobBody_Count		0	20		累计夺舍20人	res/Sprs/Achievement/icon_143	NEW_ACHIEVEMENT_6_25		10
59	一瞬百年	ClosedDoor_Count		0	100		累计入定100年	res/Sprs/Achievement/icon_144	NEW_ACHIEVEMENT_9_25		10
60	定中岁月	ClosedDoor_Count		0	500		累计入定500年	res/Sprs/Achievement/icon_145	NEW_ACHIEVEMENT_9_26		10
61	不知春秋	ClosedDoor_Count		0	1000		累计入定1000年	res/Sprs/Achievement/icon_146	NEW_ACHIEVEMENT_9_27		10
62	遗世者	ClosedDoor_Count		0	5000		累计入定5000年	res/Sprs/Achievement/icon_147	NEW_ACHIEVEMENT_6_26		10
63	拿命来	RobAge_Count		0	10		累计吸别人寿命10年	res/Sprs/Achievement/icon_148	NEW_ACHIEVEMENT_9_28		10
64	我还要	RobAge_Count		0	50		累计吸别人寿命50年	res/Sprs/Achievement/icon_149	NEW_ACHIEVEMENT_9_29		10
65	命里有时	RobAge_Count		0	500		累计吸别人寿命500年	res/Sprs/Achievement/icon_150	NEW_ACHIEVEMENT_9_30		10
66	冥灵	RobAge_Count		0	1000		累计吸别人寿命1000年	res/Sprs/Achievement/icon_151	NEW_ACHIEVEMENT_9_31		10
67	痛不欲生	RefiningSoul_Count		0	1		累计炼魂1次	res/Sprs/Achievement/icon_152	NEW_ACHIEVEMENT_10_0		10
68	哀嚎遍野	RefiningSoul_Count		0	10		累计炼魂10次	res/Sprs/Achievement/icon_153	NEW_ACHIEVEMENT_10_1		10
69	苦痛之源	RefiningSoul_Count		0	50		累计炼魂50次	res/Sprs/Achievement/icon_154	NEW_ACHIEVEMENT_10_2		10
70	魔人	RefiningSoul_Count		0	100		累计炼魂100次	res/Sprs/Achievement/icon_155	NEW_ACHIEVEMENT_10_3		10
71	摄神御鬼	Ghost_Count		0	1		累计摄神御鬼1次	res/Sprs/Achievement/icon_156	NEW_ACHIEVEMENT_10_4		10
72	鲜活之魂	Ghost_Count		0	10		累计摄神御鬼10次	res/Sprs/Achievement/icon_157	NEW_ACHIEVEMENT_10_5		10
73	魂为吾用	Ghost_Count		0	50		累计摄神御鬼50次	res/Sprs/Achievement/icon_158	NEW_ACHIEVEMENT_10_6		10
74	魂帝	Ghost_Count		0	100		累计摄神御鬼100次	res/Sprs/Achievement/icon_159	NEW_ACHIEVEMENT_10_7		10
75	天妖化血	RefiningBody_Count		0	1		累计天妖化血1次	res/Sprs/Achievement/icon_160	NEW_ACHIEVEMENT_10_8		10
76	生死无间	RefiningBody_Count		0	10		累计天妖化血10次	res/Sprs/Achievement/icon_161	NEW_ACHIEVEMENT_10_9		10
77	阴阳之道	RefiningBody_Count		0	50		累计天妖化血50次	res/Sprs/Achievement/icon_162	NEW_ACHIEVEMENT_10_10		10
78	死之王	RefiningBody_Count		0	100		累计天妖化血100次	res/Sprs/Achievement/icon_163	NEW_ACHIEVEMENT_10_11		10
79	沟通邪神	Sacrifice_Count		0	1		累计献祭1次	res/Sprs/Achievement/icon_164	NEW_ACHIEVEMENT_10_12		10
80	邪之信徒	Sacrifice_Count		0	10		累计献祭10次	res/Sprs/Achievement/icon_165	NEW_ACHIEVEMENT_10_13		10
81	邪之使者	Sacrifice_Count		0	50		累计献祭50次	res/Sprs/Achievement/icon_166	NEW_ACHIEVEMENT_10_14		10
82	邪选者	Sacrifice_Count		0	100		累计献祭100次	res/Sprs/Achievement/icon_167	NEW_ACHIEVEMENT_10_15		10
83	为吾之种	Parasitic_Count		0	1		累计魂体寄生1人	res/Sprs/Achievement/icon_168	NEW_ACHIEVEMENT_10_16		10
84	生生不息	Parasitic_Count		0	10		累计魂体寄生10人	res/Sprs/Achievement/icon_169	NEW_ACHIEVEMENT_10_17		10
85	遍种天下	Parasitic_Count		0	50		累计魂体寄生50人	res/Sprs/Achievement/icon_170	NEW_ACHIEVEMENT_10_18		10
86	窃道者	Parasitic_Count		0	100		累计魂体寄生100人	res/Sprs/Achievement/icon_171	NEW_ACHIEVEMENT_10_19		10
87	盟友	SchoolFabao_Count		0	1		累计获得镇派法宝1件	res/Sprs/Achievement/icon_035	NEW_ACHIEVEMENT_10_20		10
88	建交天下	SchoolFabao_Count		0	10		累计获得镇派法宝10件	res/Sprs/Achievement/icon_036	NEW_ACHIEVEMENT_7_1		10
89	旅人	FindPlace_Count		0	5		在历练中亲自发现5个新地点（通过书籍获得的地点不算在内）	res/Sprs/Achievement/icon_219	NEW_ACHIEVEMENT_10_21		10
90	探索者	FindPlace_Count		0	25		在历练中亲自发现25个新地点（通过书籍获得的地点不算在内）	res/Sprs/Achievement/icon_220	NEW_ACHIEVEMENT_10_22		10
91	天下行走	FindPlace_Count		0	50		在历练中亲自发现50个新地点（通过书籍获得的地点不算在内）	res/Sprs/Achievement/icon_221	NEW_ACHIEVEMENT_7_2		10
											10
1002	神丹九转	MakeItem		0		Item_Dan_HundredRefine	练出九转金丹	res/Sprs/Achievement/icon_023	NEW_ACHIEVEMENT_10_23		10
1003	丹凝五极	MakeItem		0		Item_Dan_IncreaseLife3	练出五极灵丹	res/Sprs/Achievement/icon_024	NEW_ACHIEVEMENT_10_24		10
1004	我命由我	GoldDan		0	0		结成金丹	res/Sprs/Achievement/icon_037	NEW_ACHIEVEMENT_4_30		10
1005	丹成一品	GoldDan		0	1		结成一品金丹	res/Sprs/Achievement/icon_038	NEW_ACHIEVEMENT_4_31		10
1006	太和门下	SelectGong		0		Gong_1_Shui	修炼《太和十六洞天》	res/Sprs/Achievement/icon_172	NEW_ACHIEVEMENT_10_25		10
1007	真传：太和	SelectGong		0	1.5	Gong_1_Shui	以150%以上的匹配度修炼《太和十六洞天》	res/Sprs/Achievement/icon_173	NEW_ACHIEVEMENT_10_26		10
1008	一品：太和	GoldDan		0	1	Gong_1_Shui	以《太和十六洞天》功法结成一品金丹	res/Sprs/Achievement/icon_174	NEW_ACHIEVEMENT_5_2		10
1009	得道：太和	God		0		Gong_1_Shui	以《太和十六洞天》功法飞升	res/Sprs/Achievement/icon_175	NEW_ACHIEVEMENT_5_3		10
1010	多宝门下	SelectGong		0		Gong_2_Mu	修炼《己寅九冲多宝真解》	res/Sprs/Achievement/icon_176	NEW_ACHIEVEMENT_10_27		10
1011	真传：多宝	SelectGong		0	1.5	Gong_2_Mu	以150%以上的匹配度修炼《己寅九冲多宝真解》	res/Sprs/Achievement/icon_177	NEW_ACHIEVEMENT_10_28		10
1012	一品：多宝	GoldDan		0	1	Gong_2_Mu	以《己寅九冲多宝真解》功法结成一品金丹	res/Sprs/Achievement/icon_178	NEW_ACHIEVEMENT_5_6		10
1013	得道：多宝	God		0		Gong_2_Mu	以《己寅九冲多宝真解》功法飞升	res/Sprs/Achievement/icon_179	NEW_ACHIEVEMENT_5_7		10
1014	七杀门下	SelectGong		0		Gong_3_Jin	修炼《七杀剑诀》	res/Sprs/Achievement/icon_180	NEW_ACHIEVEMENT_10_29		10
1015	真传：七杀	SelectGong		0	1.5	Gong_3_Jin	以150%以上的匹配度修炼《七杀剑诀》	res/Sprs/Achievement/icon_181	NEW_ACHIEVEMENT_10_30		10
1016	一品：七杀	GoldDan		0	1	Gong_3_Jin	以《七杀剑诀》功法结成一品金丹	res/Sprs/Achievement/icon_182	NEW_ACHIEVEMENT_5_10		10
1017	得道：七杀	God		0		Gong_3_Jin	以《七杀剑诀》功法飞升	res/Sprs/Achievement/icon_183	NEW_ACHIEVEMENT_5_11		10
1018	玉清门下	SelectGong		0		Gong_4_None	修炼《玉清仙法》	res/Sprs/Achievement/icon_184	NEW_ACHIEVEMENT_10_31		10
1019	真传：玉清	SelectGong		0	1.5	Gong_4_None	以150%以上的匹配度修炼《玉清仙法》	res/Sprs/Achievement/icon_185	NEW_ACHIEVEMENT_11_0		10
1020	一品：玉清	GoldDan		0	1	Gong_4_None	以《玉清仙法》功法结成一品金丹	res/Sprs/Achievement/icon_186	NEW_ACHIEVEMENT_5_14		10
1021	得道：玉清	God		0		Gong_4_None	以《玉清仙法》功法飞升	res/Sprs/Achievement/icon_187	NEW_ACHIEVEMENT_5_15		10
1022	偷天门下	SelectGong		0		Gong_5_Tu	修炼《偷天诀》	res/Sprs/Achievement/icon_188	NEW_ACHIEVEMENT_11_1		10
1023	真传：偷天	SelectGong		0	1.5	Gong_5_Tu	以150%以上的匹配度修炼《偷天诀》	res/Sprs/Achievement/icon_189	NEW_ACHIEVEMENT_11_2		10
1024	一品：偷天	GoldDan		0	1	Gong_5_Tu	以《偷天诀》功法结成一品金丹	res/Sprs/Achievement/icon_190	NEW_ACHIEVEMENT_5_18		10
1025	得道：偷天	God		0		Gong_5_Tu	以《偷天诀》功法飞升	res/Sprs/Achievement/icon_191	NEW_ACHIEVEMENT_5_19		10
1026	九转门下	SelectGong		0		Gong_6_Huo	修炼《九转金丹直指》	res/Sprs/Achievement/icon_192	NEW_ACHIEVEMENT_11_3		10
1027	真传：九转	SelectGong		0	1.5	Gong_6_Huo	以150%以上的匹配度修炼《九转金丹直指》	res/Sprs/Achievement/icon_193	NEW_ACHIEVEMENT_11_4		10
1028	一品：九转	GoldDan		0	1	Gong_6_Huo	以《九转金丹直指》功法结成一品金丹	res/Sprs/Achievement/icon_194	NEW_ACHIEVEMENT_5_22		10
1029	得道：九转	God		0		Gong_6_Huo	以《九转金丹直指》功法飞升	res/Sprs/Achievement/icon_195	NEW_ACHIEVEMENT_5_23		10
1030	北斗门下	SelectGong		0		Gong_8_Jin	修炼《北斗洞心劫法》	res/Sprs/Achievement/icon_200	NEW_ACHIEVEMENT_11_5		10
1031	真传：北斗	SelectGong		0	1.5	Gong_8_Jin	以150%以上的匹配度修炼《北斗洞心劫法》	res/Sprs/Achievement/icon_201	NEW_ACHIEVEMENT_11_6		10
1032	一品：北斗	GoldDan		0	1	Gong_8_Jin	以《北斗洞心劫法》功法结成一品金丹	res/Sprs/Achievement/icon_202	NEW_ACHIEVEMENT_5_26		10
1033	得道：北斗	God		0		Gong_8_Jin	以《北斗洞心劫法》功法飞升	res/Sprs/Achievement/icon_203	NEW_ACHIEVEMENT_5_27		10
1034	轮回门下	SelectGong		0		Gong_9_Mu	修炼《长生六道轮回经》	res/Sprs/Achievement/icon_204	NEW_ACHIEVEMENT_11_7		10
1035	真传：轮回	SelectGong		0	1.5	Gong_9_Mu	以150%以上的匹配度修炼《长生六道轮回经》	res/Sprs/Achievement/icon_205	NEW_ACHIEVEMENT_11_8		10
1036	一品：轮回	GoldDan		0	1	Gong_9_Mu	以《长生六道轮回经》功法结成一品金丹	res/Sprs/Achievement/icon_206	NEW_ACHIEVEMENT_5_30		10
1037	得道：轮回	God		0		Gong_9_Mu	以《长生六道轮回经》功法飞升	res/Sprs/Achievement/icon_207	NEW_ACHIEVEMENT_5_31		10
1038	三阳门下	SelectGong		0		Gong_10_Huo	修炼《三阳三昧丙丁炼火诀》	res/Sprs/Achievement/icon_208	NEW_ACHIEVEMENT_11_9		10
1039	真传：三阳	SelectGong		0	1.5	Gong_10_Huo	以150%以上的匹配度修炼《三阳三昧丙丁炼火诀》	res/Sprs/Achievement/icon_209	NEW_ACHIEVEMENT_11_10		10
1040	一品：三阳	GoldDan		0	1	Gong_10_Huo	以《三阳三昧丙丁炼火诀》功法结成一品金丹	res/Sprs/Achievement/icon_210	NEW_ACHIEVEMENT_6_2		10
1041	得道：三阳	God		0		Gong_10_Huo	以《三阳三昧丙丁炼火诀》功法飞升	res/Sprs/Achievement/icon_211	NEW_ACHIEVEMENT_6_3		10
1042	葵花门下	SelectGong		0		Gong_11_Tu	修炼《葵花炼神大法》	res/Sprs/Achievement/icon_212	NEW_ACHIEVEMENT_11_11		10
1043	真传：葵花	SelectGong		0	1.5	Gong_11_Tu	以150%以上的匹配度修炼《葵花炼神大法》	res/Sprs/Achievement/icon_213	NEW_ACHIEVEMENT_11_12		10
1044	一品：葵花	GoldDan		0	1	Gong_11_Tu	以《葵花炼神大法》功法结成一品金丹	res/Sprs/Achievement/icon_214	NEW_ACHIEVEMENT_6_6		10
1045	得道：葵花	God		0		Gong_11_Tu	以《葵花炼神大法》功法飞升	res/Sprs/Achievement/icon_215	NEW_ACHIEVEMENT_6_7		10
1046	忘情门下	SelectGong		0		Gong_7_Huo	修炼《太上忘情道》	res/Sprs/Achievement/icon_196	NEW_ACHIEVEMENT_11_13		10
1047	真传：忘情	SelectGong		0	1.5	Gong_7_Huo	以150%以上的匹配度修炼《太上忘情道》	res/Sprs/Achievement/icon_197	NEW_ACHIEVEMENT_11_14		10
1048	一品：忘情	GoldDan		0	1	Gong_7_Huo	以《太上忘情道》功法结成一品金丹	res/Sprs/Achievement/icon_198	NEW_ACHIEVEMENT_6_10		10
1049	得道：忘情	God		0		Gong_7_Huo	以《太上忘情道》功法飞升	res/Sprs/Achievement/icon_199	NEW_ACHIEVEMENT_6_11		10
1050	素门凡流	SchoolScore		0	400		门派声望达到400：素门凡流	res/Sprs/Achievement/icon_046	NEW_ACHIEVEMENT_11_15		10
1051	初见江湖	SchoolScore		0	1000		门派声望达到1000：初见江湖	res/Sprs/Achievement/icon_047	NEW_ACHIEVEMENT_11_16		10
1052	闻名遐迩	SchoolScore		0	5000		门派声望达到5000：闻名遐迩	res/Sprs/Achievement/icon_048	NEW_ACHIEVEMENT_11_17		10
1053	声震寰宇	SchoolScore		0	10000		门派声望达到10000：声震寰宇	res/Sprs/Achievement/icon_049	NEW_ACHIEVEMENT_11_18		10
1054	万载留名	SchoolScore		0	40000		门派声望达到40000：万载留名	res/Sprs/Achievement/icon_050	NEW_ACHIEVEMENT_7_3		10
1055	名门正派	SchoolRank		0		Rank11	门派成为:名门正派	res/Sprs/Achievement/icon_051	NEW_ACHIEVEMENT_11_19		10
1056	正道中流	SchoolRank		0		Rank12	门派成为:正道中流	res/Sprs/Achievement/icon_052	NEW_ACHIEVEMENT_11_20		10
1057	正道魁首	SchoolRank		0		Rank13	门派成为:正道魁首	res/Sprs/Achievement/icon_053	NEW_ACHIEVEMENT_7_4		10
1058	邪门歪道	SchoolRank		0		Rank21	门派成为:邪门歪道	res/Sprs/Achievement/icon_054	NEW_ACHIEVEMENT_11_21		10
1059	邪道砥柱	SchoolRank		0		Rank22	门派成为:邪道砥柱	res/Sprs/Achievement/icon_055	NEW_ACHIEVEMENT_11_22		10
1060	魔门巨擘	SchoolRank		0		Rank23	门派成为:魔门巨擘	res/Sprs/Achievement/icon_056	NEW_ACHIEVEMENT_7_5		10
1061	渐有人气	GameSchoolOwn		0	5		门派拥有5人	res/Sprs/Achievement/icon_057	NEW_ACHIEVEMENT_11_23		10
1062	初具规模	GameSchoolOwn		0	10		门派拥有10人	res/Sprs/Achievement/icon_058	NEW_ACHIEVEMENT_11_24		10
1063	门生兴旺	GameSchoolOwn		0	18		门派拥有18人	res/Sprs/Achievement/icon_059	NEW_ACHIEVEMENT_7_6		10
1064	踏上仙途	GameSchoolDiscipleOwn		0	1		门派拥有1位内门弟子	res/Sprs/Achievement/icon_060	NEW_ACHIEVEMENT_11_25		10
1065	广收门徒	GameSchoolDiscipleOwn		0	4		门派拥有4位内门弟子	res/Sprs/Achievement/icon_061	NEW_ACHIEVEMENT_11_26		10
1066	人才济济	GameSchoolDiscipleOwn		0	8		门派拥有8位内门弟子	res/Sprs/Achievement/icon_062	NEW_ACHIEVEMENT_7_7		10
1067	天灾：寒流	WeatherEnd		0		ColdWave	度过寒流	res/Sprs/Achievement/icon_077	NEW_ACHIEVEMENT_11_27		10
1068	天灾：热浪	WeatherEnd		0		HeatWave	度过热浪	res/Sprs/Achievement/icon_078	NEW_ACHIEVEMENT_11_28		10
1069	天灾：永夜	WeatherEnd		0		PermanentNight	度过永夜	res/Sprs/Achievement/icon_079	NEW_ACHIEVEMENT_11_29		10
1070	万剑归宗	DSkillLevel		0	20	Fabao	御物技能达到20级	res/Sprs/Achievement/icon_083	NEW_ACHIEVEMENT_7_8		10
1071	法有元神	DSkillLevel		0	20	FightSkill	术法技能达到20级	res/Sprs/Achievement/icon_084	NEW_ACHIEVEMENT_7_9		10
1072	金刚不坏	DSkillLevel		0	20	Barrier	护体技能达到20级	res/Sprs/Achievement/icon_085	NEW_ACHIEVEMENT_7_10		10
1073	医仙	DSkillLevel		0	20	Medicine	炼丹技能达到20级	res/Sprs/Achievement/icon_086	NEW_ACHIEVEMENT_7_11		10
1074	器宗	DSkillLevel		0	20	Manual	炼器技能达到20级	res/Sprs/Achievement/icon_087	NEW_ACHIEVEMENT_7_12		10
1075	秋去冬来	YearChange		0	1		游戏中度过第1年	res/Sprs/Achievement/icon_103	NEW_ACHIEVEMENT_11_30		10
1076	时光飞逝	YearChange		0	5		游戏中度过第5年	res/Sprs/Achievement/icon_104	NEW_ACHIEVEMENT_11_31		10
1077	匆匆那年	YearChange		0	10		游戏中度过第10年	res/Sprs/Achievement/icon_105	NEW_ACHIEVEMENT_7_13		10
1078	醍醐灌顶	UseMagic		0		Healing_Intelligence	第一次施展神通：醍醐灌顶	res/Sprs/Achievement/icon_115	NEW_ACHIEVEMENT_12_0		10
1079	再造形神	UseMagic		0		Healing_Charisma	第一次施展神通：再造形神	res/Sprs/Achievement/icon_116	NEW_ACHIEVEMENT_12_1		10
1080	天眼洞开	UseMagic		0		Healing_Perception	第一次施展神通：开天眼	res/Sprs/Achievement/icon_117	NEW_ACHIEVEMENT_12_2		10
1081	伐毛洗髓	UseMagic		0		Healing_Physique	第一次施展神通：伐毛洗髓	res/Sprs/Achievement/icon_118	NEW_ACHIEVEMENT_12_3		10
1082	肉身再造	UseMagic		0		BuildBody	第一次施展神通：再造术	res/Sprs/Achievement/icon_119	NEW_ACHIEVEMENT_12_4		10
1083	呼风唤雨	UseMagic		0		PrayForRain	第一次施展神通：求雨术	res/Sprs/Achievement/icon_120	NEW_ACHIEVEMENT_12_5		10
1084	驱云散雾	UseMagic		0		PrayForSun	第一次施展神通：驱云术	res/Sprs/Achievement/icon_121	NEW_ACHIEVEMENT_12_6		10
1085	脑洞大开	PartBroken		0		Skull	天灵盖损坏	res/Sprs/Achievement/icon_130	NEW_ACHIEVEMENT_7_14		10
1086	爆头！	PartBroken		0		Head	头部损坏	res/Sprs/Achievement/icon_131	NEW_ACHIEVEMENT_7_15		10
1087	僵尸警告	PartBroken		0		Brain	大脑损坏	res/Sprs/Achievement/icon_132	NEW_ACHIEVEMENT_7_18		10
1088	爆肝！	PartBroken		0		Liver	肝脏损坏	res/Sprs/Achievement/icon_217	NEW_ACHIEVEMENT_7_16		10
1089	无欲无求	PartBroken		0		Genitals	净身	res/Sprs/Achievement/icon_216	NEW_ACHIEVEMENT_7_17		10
1090	我心永恒	PartBroken		0		Heart	心脏损坏	res/Sprs/Achievement/icon_135	NEW_ACHIEVEMENT_7_19		10
1091	修行宝地	SchoolFengshui		0		VeryGood	门派风水变成修行宝地	res/Sprs/Achievement/icon_136	NEW_ACHIEVEMENT_12_7		10
1092	仙家洞天	SchoolFengshui		0		Best	门派风水变成仙家洞天	res/Sprs/Achievement/icon_137	NEW_ACHIEVEMENT_7_20		10
1093	吉宅	RoomFengshui		0		VeryGood	使一间房间风水变成吉	res/Sprs/Achievement/icon_138	NEW_ACHIEVEMENT_12_8		10
1094	风水宝地	RoomFengshui		0		Best	使一间房间风水变成大吉	res/Sprs/Achievement/icon_139	NEW_ACHIEVEMENT_7_21		10
1095	一劫天仙	GroundGod		0	1		派中有一名仙人滞留世间，度过一次天仙劫	res/Sprs/Achievement/icon_222	NEW_ACHIEVEMENT_12_9		10
1096	三劫天仙	GroundGod		0	3		派中有一名仙人滞留世间，度过三次天仙劫	res/Sprs/Achievement/icon_223	NEW_ACHIEVEMENT_12_10		10
1097	五劫天仙	GroundGod		0	5		派中有一名仙人滞留世间，度过五次天仙劫	res/Sprs/Achievement/icon_224	NEW_ACHIEVEMENT_12_11		10
